Word(s),Spoken Form (If Different)
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
nmap,N map
under-documented,under documented
src,esser sea
emacs,E max
emacs,imacs
vim
vi,veii
junk
ssh,SSH
sherpa
queue,kew
queues,kews
queued,cued
OpenSSL,opennesses ell
mutex,
cipher
ciphers
HTTP
HTTPS
IP
IPs
TCP
hostname
hostnames
stat
stats
bin
schwab
MITFCU
POSIX
ALSI
ALSI9,ALSI nine
ALSI10,ALSI ten
ALSI11,ALSI eleven
alsi9-lib64,ALSI nine lib sixty four
alsi10-lib64,ALSI ten lip sixty four
alsi11-lib64,ALSI eleven lib sixty
alsi9-lib32,ALSI nine lib thirty two
alsi10-lib32,ALSI ten lip thirty two
alsi11-lib32,ALSI eleven lib thirty two
NOCC
BOCC
BOSS
LLDC
LLDQ
freeflow
essl
DDC
DDC-base,DDC base
DDC-akamill
DDC-smooshbox,DDC smoosh box
akamai
akamai.com,akamai dot com
akamake
akamill
akamill-lua-xform,akamill lua transform
akarotate
build.info,build info
bzflud,busy flood
bzplanaggr,busy plan aggr
bzplanner,busy planner
bzsmoosh,busy smoosh
bzupload,busy upload
hostsetup
psplit
qsplit
smoosh
workspace
NOCC
KMI
MDT
UMP
Yakov
Sofiya
Vadim
Grinshpun
CPU
RSS
VSIZE
CR
CRs
changelist
changelists
JIRA
CSI
GTM
ODLB
inter-release, inter release
phase 0,phase zero
post-world, post world
avro
protobuf
StreamBundle
enqueue,and cue
diskmap
diskmaps
ghostcache
asan
tsan
tmpfs, temp of es
codebase
codeline
repo
ARL ID,arl id
dropdown
CSI
DLR
GRPC
pipeline
